dataset,predictor,seed,method,alarm_fraction,analysis_role,alarm_count,anomaly_prevalence,pointwise_f1_ceiling,matched_pairs,peak_smd,tail_contrast,contrast_ci_low,contrast_ci_high,regime,evidence_status,raw_f1,event_recall,mttd
PSM,one_step,0,ewma,0.05,post_review_sensitivity,4393,0.27755831559294636,0.3053451032181831,35,0.02110673747884073,3.56641717511661,2.076644223392544,5.204384616521608,positive,primary,0.18864252450128588,0.7777777777777778,23.142857142857142
SWaT,one_step,0,raw_realtime,0.005,primary,2250,0.12140185233342002,0.07912644405760405,7,0.04085263482675505,-1.1523417610263356,-4.100119872891748,0.7715419518866143,underpowered,exploratory_underpowered,0.019658525434755852,0.42857142857142855,453.2
SWaT,one_step,0,raw_delayed,0.005,primary,2250,0.12140185233342002,0.07912644405760405,7,0.04085263482675505,-1.1523417610263356,-4.100119872891748,0.7715419518866143,underpowered,exploratory_underpowered,0.019658525434755852,0.42857142857142855,455.06666666666666
SWaT,one_step,0,confirmation_mean,0.005,primary,2250,0.12140185233342002,0.07912644405760405,7,0.04085263482675505,-1.1523417610263356,-4.100119872891748,0.7715419518866143,underpowered,exploratory_underpowered,0.01941235427546553,0.42857142857142855,454.06666666666666
SWaT,one_step,0,ewma,0.005,primary,2250,0.12140185233342002,0.07912644405760405,7,0.04085263482675505,-1.1523417610263356,-4.100119872891748,0.7715419518866143,underpowered,exploratory_underpowered,0.019201350424645252,0.4,437.42857142857144
SWaT,one_step,0,raw_realtime,0.01,post_review_sensitivity,4500,0.12140185233342002,0.1522301720200944,7,0.04085263482675505,-1.1523417610263356,-4.100119872891748,0.7715419518866143,underpowered,exploratory_underpowered,0.02716462847380795,0.45714285714285713,424.5625
SWaT,one_step,0,raw_delayed,0.01,post_review_sensitivity,4500,0.12140185233342002,0.1522301720200944,7,0.04085263482675505,-1.1523417610263356,-4.100119872891748,0.7715419518866143,underpowered,exploratory_underpowered,0.026961654911114494,0.45714285714285713,426.8125
SWaT,one_step,0,confirmation_mean,0.01,post_review_sensitivity,4500,0.12140185233342002,0.1522301720200944,7,0.04085263482675505,-1.1523417610263356,-4.100119872891748,0.7715419518866143,underpowered,exploratory_underpowered,0.02692782598399892,0.42857142857142855,453.26666666666665
SWaT,one_step,0,ewma,0.01,post_review_sensitivity,4500,0.12140185233342002,0.1522301720200944,7,0.04085263482675505,-1.1523417610263356,-4.100119872891748,0.7715419518866143,underpowered,exploratory_underpowered,0.02723228632803911,0.42857142857142855,453.8
SWaT,one_step,0,raw_realtime,0.05,post_review_sensitivity,22496,0.12140185233342002,0.5834251851083418,7,0.04085263482675505,-1.1523417610263356,-4.100119872891748,0.7715419518866143,underpowered,exploratory_underpowered,0.07645525629887055,0.8,221.17857142857142
